id_venta,fecha,vendedor,region,producto,monto,estatus
V0120,2026-04-17,Ana López, Bajío ,Implementación,20591.14,Abierto
V0042,2026-04-05 00:00:00,Efraín Soto,Sur,Consultoría, 36010.45 ,Cerrada
V0089,2026-06-10,Efraín Soto,sur,Soporte Anual,"60,901.75",  cerrada  
V0174,04-03-2026,Iván Mora,SUR,Licencia Pro,"83,239.45",cerrada
V0198,2026-02-19 00:00:00,Iván Mora,Sur,Consultoría,16593.61,Cancelada
V0037,2026-01-17,Efraín Soto, Bajío ,Soporte Anual,"$82,482.90",cancelada
V0097,2026-03-15,Diana Pérez,BAJÍO,Implementación, 56441.32 ,  cancelada  
V0024,2026-03-20,Efraín Soto,NORTE,Módulo Extra,"54608,19",cancelada
V0014,2026-05-27,Luis Tovar,Norte,Licencia Básica,47565.21,CANCELADA
V0076,2026-01-26 00:00:00,Héctor Ramos, Norte ,Consultoría,72 760.95,CERRADA
V0089,10-06-2026,Efraín Soto, Sur ,Soporte Anual,"60901,75",  cerrada  
V0153,2026-04-15 00:00:00,Mariana Vega,Sur,Módulo Extra,"27,667.98",  abierta  
V0030,2026-01-26 00:00:00,Mariana Vega,Occidente,Consultoría,86 779.55,cerrada
V0001,2026-06-07,Diana Pérez, Sur ,Soporte Anual, 53474.92 ,Cerrada
V0038,2026-05-02,Iván Mora,Bajío,Soporte Anual,40604.36,abierta
V0186,27/03/2026,Diana Pérez, Occidente ,Módulo Extra, 94268.24 ,abierta
V0050,26-05-2026,Iván Mora,sur,Implementación,4 340.10,Abierto
V0051,16/02/2026,Carlos Ruiz,Occidente,Licencia Enterprise,"69506,17",Abierto
V0044,22/01/2026,Luis Tovar,norte,Licencia Básica,"19,282.54",  cerrada  
V0074,2026-01-14 00:00:00,Gabriela Nava,Centro,Módulo Extra,"10060,87",Cerrada
V0152,2026-03-08,Iván Mora,OCCIDENTE,Licencia Básica,"$44,705.80",  cerrada  
V0041,18/03/2026,Iván Mora,Occidente,Licencia Básica,43409.77,CERRADA
V0026,2026-01-06 00:00:00,, Norte ,Licencia Pro, 75055.41 ,abierta
